External ID,Name,Product Type,Internal Reference,Barcode,Sales Price,Cost,Weight,Sales Description,categ_id,website_published,public_categ_ids,Descripcion_cliente,Clave_cliente,Similitud
7500326545597,tarjeta s conmemorativas cumpleaã‘os banderas tf877,Bienes,14111611.0,7500326545597,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.061
7500326545702,tarjeta felicidades cup cakes,Bienes,14111611.0,7500326545702,,,,,,True,,paquete individual con 12 cenefas para cupcakes del mismo diseño. un empaque contiene 10 paquetes,cenefas para cupcakes,0.13
7500326545719,tarjetas conmemorativas cumpleaã‘os mensaje amarillo tf879,Bienes,14111611.0,7500326545719,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.022
7500326545726,tarjeta felicidades aminales del bosque,Bienes,14111611.0,7500326545726,,,,,,True,,paquete individual con 12 banderitas decoradas del mismo diseño de 3 cm. un empaque contiene 10 paquetes ,banderitas decorativas ,0.071
7500326545733,tarjeta sin mensaje globos banderas,Bienes,14111611.0,7500326545733,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.057
7500326545740,tarjeta felicidades teatro,Bienes,14111611.0,7500326545740,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.012
7500326545757,tarjeta feliz cumpleaã‘os alta voz,Bienes,14111611.0,7500326545757,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.003
7500326545764,tarjeta feliz cumpleaã‘os flecha,Bienes,14111611.0,7500326545764,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.008
7500326545771,tarjeta felicidades barajas y fichas,Bienes,14111611.0,7500326545771,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.054
7500326545788,tarjeta feliz dia palomitas cine,Bienes,14111611.0,7500326545788,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.062
7500326545795,tarjetas conmemorativas sin mensaje cine,Bienes,14111611.0,7500326545795,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.043
7500326545818,tarjeta  feliz dia asador salchicha,Bienes,14111611.0,7500326545818,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.014
7500326545825,tarjeta feliz dia viaje maleta,Bienes,14111611.0,7500326545825,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.018
7500326545849,tarjetas conmemorativas feliz cumpleaã‘os mensajes,Bienes,14111611.0,7500326545849,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.029
7500326545856,tarjeta feliz dia campamento,Bienes,14111611.0,7500326545856,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.039
7500326545863,tarjetas conmemorativas felicidades libelula,Bienes,14111611.0,7500326545863,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.026
7500326545894,tarjetas conmemorativas sin mensaje vaquero,Bienes,14111611.0,7500326545894,,,,,,True,,paquete individual con 12 banderitas decoradas del mismo diseño de 3 cm. un empaque contiene 10 paquetes ,banderitas decorativas ,0.093
7500326545900,tarjetas conmemorativas sin mensaje tulipanes rosa,Bienes,14111611.0,7500326545900,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.025
7500326545917,tarjeta kraft lisa,Bienes,14111611.0,7500326545917,,,,,,True,,paquete individual con 6 charolas kraft del mismo diseño y/o liso 5.5x19.5x4 cm. un empaque contiene 10 paquetes,charola,0.142
7500326545924,tarjetas conmemorativas feliz cumpleaã‘os v amarillo,Bienes,14111611.0,7500326545924,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.028
7500326545993,tarjetas conmemorativas sin mensaje flores clasicas,Bienes,14111611.0,7500326545993,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.028
7500326546020,tarjeta sin mensaje gerbera naranja,Bienes,14111611.0,7500326546020,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.026
7500326546037,tarjeta sin mensaje florero amarillo,Bienes,14111611.0,7500326546037,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.0
7500326546051,tarjeta  sin mensaje rosa salmon boton,Bienes,14111611.0,7500326546051,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.004
7500326546068,tarjeta sin mensaje gerbera rosa,Bienes,14111611.0,7500326546068,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.003
7500326546075,tarjeta sin mensaje flor cielo azul,Bienes,14111611.0,7500326546075,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.0
7500326546099,tarjeta sin mensaje taza carita feliz,Bienes,14111611.0,7500326546099,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.014
7500326546112,tarjeta sin mensaje florero blanco amarillo,Bienes,14111611.0,7500326546112,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.0
7500326546204,tarjetas conmemorativas orquideas moradas tf1054,Bienes,14111611.0,7500326546204,,,,,,True,,paquete individual con 12 banderitas decoradas del mismo diseño de 3 cm. un empaque contiene 10 paquetes ,banderitas decorativas ,0.083
7500326546228,tarjetas conmemorativas rosa roja boton tf1056,Bienes,14111611.0,7500326546228,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.026
7500326546266, tarjetas conmemorativas baby s mama/paraguas unisex,Bienes,14111611.0,7500326546266,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.036
7500326546273,tarjeta baby s huellas cafã‰ unisex,Bienes,14111611.0,7500326546273,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.025
7500326546280,tarjeta baby s huellas azules niã‘o,Bienes,14111611.0,7500326546280,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.017
7500326546297,tarjeta baby s huellas rosas niã‘a,Bienes,14111611.0,7500326546297,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.017
7500326546402,tarjeta baby s safari azul niã‘o,Bienes,14111611.0,7500326546402,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.003
7500326546419,tarjeta baby s safari rosa niã‘a,Bienes,14111611.0,7500326546419,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.003
7500326546426,tarjeta baby s jirafa amarilla unisex,Bienes,14111611.0,7500326546426,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.016
7500326546457,tarjeta baby s animalitos marco cafe,Bienes,14111611.0,7500326546457,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.003
7500326546464,tarjeta  baby s animalitos puntos colores,Bienes,14111611.0,7500326546464,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.008
7500326546488,tarjeta de para baby animalitos,Bienes,14111604.0,7500326546488,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.031
7500326546495,tarjeta baby s buho unisex,Bienes,14111611.0,7500326546495,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.018
7500326546600,tarjeta baby s changuito azul niã‘o,Bienes,14111611.0,7500326546600,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.023
7500326546617,tarjeta baby s changuita rosa niã‘a,Bienes,14111611.0,7500326546617,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.023
7500326546624,tarjeta conmemorativa baby s felicidades banderitas,Bienes,14111611.0,7500326546624,,,,,,True,,paquete individual con 12 banderitas decoradas del mismo diseño de 3 cm. un empaque contiene 10 paquetes ,banderitas decorativas ,0.142
7500326546631,tarjeta conmemorativa baby s es niã‘o banderitas,Bienes,14111611.0,7500326546631,,,,,,True,,paquete individual con 12 banderitas decoradas del mismo diseño de 3 cm. un empaque contiene 10 paquetes ,banderitas decorativas ,0.155
7500326546648,tarjeta conmemorativa baby s es niã‘a banderitas,Bienes,14111611.0,7500326546648,,,,,,True,,paquete individual con 12 banderitas decoradas del mismo diseño de 3 cm. un empaque contiene 10 paquetes ,banderitas decorativas ,0.154
7500326546655,tarjeta conmemorativa baby s banderitas,Bienes,14111611.0,7500326546655,,,,,,True,,paquete individual con 12 banderitas decoradas del mismo diseño de 3 cm. un empaque contiene 10 paquetes ,banderitas decorativas ,0.169
7500326546662,tarjetas conmemorativas baby bienvenida rosa,Bienes,14111611.0,7500326546662,,,,,,True,,contenido,descripción,0.122
7500326546679,tarjetas conmemorativas bienvenido azul es niã‘o,Bienes,14111611.0,7500326546679,,,,,,True,,contenido,descripción,0.3
7500326546716,tarjeta conmemorativa celabraciones primera comunion trigo,Bienes,14111611.0,7500326546716,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.023
7500326546778,tarjeta celebraciones boda vestido smoking,Bienes,14111611.0,7500326546778,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.06
7500326546785,tarjeta celebraciones corazon blanco,Bienes,14111611.0,7500326546785,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.017
7500326546792,tarjeta celebraciones boda anillos oro,Bienes,14111611.0,7500326546792,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.011
7500326546808,tarjeta celebraciones boda anillos plata,Bienes,14111611.0,7500326546808,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.011
7500326546815,tarjeta celebraciones boda anillos gris,Bienes,14111611.0,7500326546815,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.01
7500326546822,tarjeta conmemorativa celebraciones pastel boda cafã‰,Bienes,14111611.0,7500326546822,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.027
7500326546839,tarjeta conmemorativa celebraciones graduacion gorros,Bienes,14111611.0,7500326546839,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.027
7500326546846,tarjeta conmemorativa celebraciones graduacion texto,Bienes,14111611.0,7500326546846,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.028
7500326546877,tarjeta conmemorativa graduacion marco negro,Bienes,14111611.0,7500326546877,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.028
7500326547119,tarjeta conmemorativa felicidades maestro manzana,Bienes,14111611.0,7500326547119,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.024
7500326547126,tarjeta conmemorativa felicidades maestro niã‘os,Bienes,14111611.0,7500326547126,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.025
7500326547164,tarjeta conmemorativa  aliviate pronto bee well soon abejita,Bienes,14111611.0,7500326547164,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.043
7500326547201,tarjetas conmemorativas desp de soltera negligee,Bienes,14111611.0,7500326547201,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.034
7500326547218,tarjetas conmemorativas desp de soltera copas,Bienes,14111611.0,7500326547218,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.045
7500326547225,tarjetas conmemorativas desp bachelorette,Bienes,14111611.0,7500326547225,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.03
7500326547232,tarjetas conmemorativas desp de soltera circulos,Bienes,14111611.0,7500326547232,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.039
7500326547249,tarjetas conmemorativas desp negligge negro,Bienes,14111611.0,7500326547249,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.026
7500326547256,tarjetas conmemorativas sentido pesame azul,Bienes,14111611.0,7500326547256,,,,,,True,,contenido,descripción,0.086
7500326547263,tarjetas conmemorativas sentido pesame cafã‰,Bienes,14111611.0,7500326547263,,,,,,True,,contenido,descripción,0.08
7500326547690,distintivo premios primer lugar oro,Bienes,60121120.0,7500326547690,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.021
7500326547706,distintivos premios segundo lugar plata,Bienes,60121120.0,7500326547706,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.019
7500326547713,distintivo premios trecer luigar cobre,Bienes,60121120.0,7500326547713,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.021
7500326547720,confeti nacarado estrellas multicolor,Bienes,60121115.0,7500326547720,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.031
7500326547737,confeti nacarado baby shower niã‘o azul,Bienes,60121115.0,7500326547737,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.035
7500326547751,confeti nacarado baby shower niã‘a  rosa,Bienes,60121115.0,7500326547751,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.035
7500326547768,confeti nacarado baby shower niã‘o amarill/verde,Bienes,60121115.0,7500326547768,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.028
7500326547775,confeti nacarado baby shower niã‘a  rosa/lila,Bienes,60121115.0,7500326547775,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.029
7500326547782,confeti metalizado fiesta variado,Bienes,60121115.0,7500326547782,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.043
7500326547799,confeti metalizado navidad,Bienes,60121115.0,7500326547799,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.044
7500326708602,confeti metalizado estrellas multicolor,Bienes,60121115.0,7500326708602,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.03
7500326708626,confeti metalizado ceremonias,Bienes,60121115.0,7500326708626,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.032
7500326708633,confeti flourescente estrellas multicolor,Bienes,60121115.0,7500326708633,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.037
7500326708640,confeti holografico estrellas multicolor,Bienes,60121115.0,7500326708640,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.024
7500326708657,confeti holografico fiesta,Bienes,60121115.0,7500326708657,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.029
7500326708664,confeti metalizado estrella multicolor mini,Bienes,60121115.0,7500326708664,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.03
7500326708671,confeti holografico estrella rojo mini,Bienes,60121115.0,7500326708671,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.025
7500326708688,confeti holografico estrella naranja mini,Bienes,60121115.0,7500326708688,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.025
7500326708695,confeti holografico estrella aqua mini,Bienes,60121115.0,7500326708695,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.041
7500326753107,confeti nacarado estrella rosa grande,Bienes,60121115.0,7500326753107,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.037
7500326753114,confeti fluorescente estrella naranja grande,Bienes,60121115.0,7500326753114,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.038
7500326753121,confeti holografico estrella naranja grande,Bienes,60121115.0,7500326753121,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.024
7500326753138,confeti metalizado estrella lila mini,Bienes,60121115.0,7500326753138,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.035
7500326753145,confeti holografico estrella oro viejo mini,Bienes,60121115.0,7500326753145,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.022
7500326753169,confeti metalizado estrella naranja mini,Bienes,60121115.0,7500326753169,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.033
7500326753183,confeti holografico estrella azul rey mini,Bienes,60121115.0,7500326753183,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.024
7500326753190,confeti holografico estrella  fucsia mini,Bienes,60121115.0,7500326753190,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.023
7500326755309,confeti nacarado estrella blanca grande,Bienes,60121115.0,7500326755309,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.034
7500326755316,confeti nacarado estrella azul grande,Bienes,60121115.0,7500326755316,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.037
7500326755354,confeti nacarado estrella azul mini,Bienes,60121115.0,7500326755354,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.037
7500326755361,confeti nacarado estrella rosa mini,Bienes,60121115.0,7500326755361,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.037
7500326755378,confeti nacarado estrella lila mini,Bienes,60121115.0,7500326755378,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.036
7500326755392,confeti nacarado estrella lila grande,Bienes,60121115.0,7500326755392,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.035
7500326755408,confeti holografico estrella verde limon grande,Bienes,60121115.0,7500326755408,,,,,,True,,SIN_COINCIDENCIA,SIN_COINCIDENCIA,0.024
