External ID,Name,Product Type,Internal Reference,Barcode,Sales Price,Cost,Weight,Sales Description,categ_id,website_published,public_categ_ids
7500326513305,KIT INVITACION BABYS BUHO AZUL NIÃ‘O C/8 PZAS,Bienes,14111611,7500326513305,,,,,,TRUE,
7500326513312,KIT INVITACION BABYS BUHO ROSA NIÃ‘A C/8 PZAS,Bienes,14111611,7500326513312,,,,,,TRUE,
7500326513329,KIT INVITACION BABYS BUHO UNISEX C/8 PZAS,Bienes,14111611,7500326513329,,,,,,TRUE,
7500326513336,KIT INVITACION BABYS CHANGUITO AZUL NIÃ‘O C/8 PZAS,Bienes,14111611,7500326513336,,,,,,TRUE,
7500326513343,KIT INVITACION BABYS CHANGUITA ROSA NIÃ‘A C/8 PZAS,Bienes,14111611,7500326513343,,,,,,TRUE,
7500326513350,KIT INVITACION FIESTA VEN A MI FIESTA X C/ 8 PZAS,Bienes,14111611,7500326513350,,,,,,TRUE,
7500326513367,KIT INVITACION FIESTA ITÂ´S A PARTY! C/8 PZAS,Bienes,14111611,7500326513367,,,,,,TRUE,
7500326513381,KIT INVITACION FIESTA CUMPLEAÃ‘OS PASTEL C/8 PZAS,Bienes,14111611,7500326513381,,,,,,TRUE,
7500326513398,KIT INVITACION FIESTA CUP CAKE C/8 PZAS,Bienes,14111611,7500326513398,,,,,,TRUE,
7500326513404,KIT INVITACION FIESTA MARIPOSAS C/8 PZAS,Bienes,14111611,7500326513404,,,,,,TRUE,
7500326513411,KIT INVITACION FIESTA VEN A CELEBRAR VELAS C/8 P'ZAS,Bienes,14111611,7500326513411,,,,,,TRUE,
7500326513428,KIT INVITACION FIESTA BOLAS MORADO C/8 PZAS,Bienes,14111611,7500326513428,,,,,,TRUE,
7500326513435,KIT INVITACION FIESTA CUMPLEAÃ‘OS GLOBOS C/8 PZAS,Bienes,14111611,7500326513435,,,,,,TRUE,
7500326513442,KIT INVITACION FIESTA VEN A MI FIESTA GORROS C/8 PZAS,Bienes,14111611,7500326513442,,,,,,TRUE,
7500326513459,KIT INVITACION FIESTA ESTRELLAS C/8 PZAS,Bienes,14111611,7500326513459,,,,,,TRUE,
7500326513473,KIT INVITACION FIESTA DEPORTES C/8 PZAS,Bienes,14111611,7500326513473,,,,,,TRUE,
7500326513497,KIT INVITACION FIESTA CUMPLEAÃ‘OS TEXTO C/8 PZAS,Bienes,14111611,7500326513497,,,,,,TRUE,
7500326513510,KIT INVITACION FIESTA FIESTA DE PRINCESA,Bienes,14111611,7500326513510,,,,,,TRUE,
7500326513527,KIT INVITACION VEN A MI FIESTA VAQUERO,Bienes,14111611,7500326513527,,,,,,TRUE,
7500326513534,KIT INVITACION FIESTA BUSQUEMOS EL TESORO PIRATA,Bienes,14111611,7500326513534,,,,,,TRUE,
7500326513541,KIT INVITACION FIESTA BUHO VEN A LA FISTA,Bienes,14111611,7500326513541,,,,,,TRUE,
